Station_A,Station_B,Type,Time_in_Minutes
Hindon River,Shaheed Sthal(First Station),RAIL,1
Arthala,Hindon River,RAIL,3
Arthala,Mohan Nagar,RAIL,9
Mohan Nagar,Shyam park,RAIL,5
Major Mohit Sharma,Shyam park,RAIL,2
Major Mohit Sharma,Raj Bagh,RAIL,1
Raj Bagh,Shaheed Nagar,RAIL,2
Dilshad Garden,Shaheed Nagar,RAIL,1
Dilshad Garden,Jhil Mil,RAIL,1
Jhil Mil,Mansarovar Park,RAIL,1
Mansarovar Park,Shahdara,RAIL,1
Shahdara,Welcome [Conn: Pink],RAIL,1
Seelampur,Welcome [Conn: Pink],RAIL,FILL_THIS
Seelampur,Shastri Park,RAIL,FILL_THIS
"Kashmere Gate [Conn: Violet,Yellow]",Shastri Park,RAIL,FILL_THIS
"Kashmere Gate [Conn: Violet,Yellow]",Tis Hazari,RAIL,FILL_THIS
Pul Bangash,Tis Hazari,RAIL,FILL_THIS
Pratap Nagar,Pul Bangash,RAIL,FILL_THIS
Pratap Nagar,Shastri Nagar,RAIL,FILL_THIS
Inderlok [Conn: Green],Shastri Nagar,RAIL,FILL_THIS
Inderlok [Conn: Green],Kanhaiya Nagar,RAIL,FILL_THIS
Kanhaiya Nagar,Keshav Puram,RAIL,FILL_THIS
Keshav Puram,Netaji Subash Place [Conn: Pink],RAIL,FILL_THIS
Kohat Enclave,Netaji Subash Place [Conn: Pink],RAIL,FILL_THIS
Kohat Enclave,Pitam Pura,RAIL,FILL_THIS
Pitam Pura,Rohini East,RAIL,FILL_THIS
Rohini East,Rohini West,RAIL,FILL_THIS
Rithala(last station),Rohini West,RAIL,FILL_THIS
Rohini Sector 18-19,Samaypur Badli(First Station),RAIL,FILL_THIS
Haiderpur Badli Mor,Rohini Sector 18-19,RAIL,FILL_THIS
Haiderpur Badli Mor,Jahangirpuri,RAIL,FILL_THIS
Adarsh Nagar,Jahangirpuri,RAIL,FILL_THIS
Adarsh Nagar,Azadpur [Conn: Pink],RAIL,FILL_THIS
Azadpur [Conn: Pink],Model Town,RAIL,FILL_THIS
Guru Tegh Bahadur Nagar,Model Town,RAIL,FILL_THIS
Guru Tegh Bahadur Nagar,Vishwavidyalaya,RAIL,FILL_THIS
Vidhan Sabha,Vishwavidyalaya,RAIL,FILL_THIS
Civil Lines,Vidhan Sabha,RAIL,FILL_THIS
Civil Lines,Kashmere Gate [Conn: Violet],RAIL,FILL_THIS
Chandni Chowk,Kashmere Gate [Conn: Violet],RAIL,FILL_THIS
Chandni Chowk,Chawri Bazar,RAIL,FILL_THIS
Chawri Bazar,New Delhi [Conn: Orange],RAIL,FILL_THIS
New Delhi [Conn: Orange],Rajiv Chowk [Conn: Blue],RAIL,FILL_THIS
Patel Chowk,Rajiv Chowk [Conn: Blue],RAIL,FILL_THIS
Central Secretariat [Conn: Violet],Patel Chowk,RAIL,FILL_THIS
Central Secretariat [Conn: Violet],Udyog Bhawan,RAIL,FILL_THIS
Lok Kalyan Marg,Udyog Bhawan,RAIL,FILL_THIS
Jor Bagh,Lok Kalyan Marg,RAIL,FILL_THIS
Dilli Haat INA [Conn: Pink],Jor Bagh,RAIL,FILL_THIS
AIIMS,Dilli Haat INA [Conn: Pink],RAIL,FILL_THIS
